iter	MultiClass
0	1.362733202
1	1.344075159
2	1.328165767
3	1.315236641
4	1.304216314
5	1.295622241
6	1.287177474
7	1.280124711
8	1.273504298
9	1.266566418
10	1.260642368
11	1.254754476
12	1.249853557
13	1.245603367
14	1.240183381
15	1.236551345
16	1.2340904
17	1.230783616
18	1.228319696
19	1.22516173
20	1.222054248
21	1.219640585
22	1.217519921
23	1.215596486
24	1.213578056
25	1.211345934
26	1.209526638
27	1.206540174
28	1.204981447
29	1.203317783
30	1.200942835
31	1.199883776
32	1.197879445
33	1.197695129
34	1.196479942
35	1.194841755
36	1.192486283
37	1.190576537
38	1.189298967
39	1.187961565
40	1.187090662
41	1.18564356
42	1.185011305
43	1.184887287
44	1.183558395
45	1.182290152
46	1.17930191
47	1.177373922
48	1.175426584
49	1.173879124
50	1.172559181
51	1.171356643
52	1.170151437
53	1.168852304
54	1.167142347
55	1.165755374
56	1.164916524
57	1.163801815
58	1.161928089
59	1.160689169
60	1.160152343
61	1.158994923
62	1.156804025
63	1.155061455
64	1.153102611
65	1.152182281
66	1.150982547
67	1.150459602
68	1.149941791
69	1.148847512
70	1.147700103
71	1.14684339
72	1.145801575
73	1.144877445
74	1.143207687
75	1.141942756
76	1.141060944
77	1.140519425
78	1.139215796
79	1.138156206
80	1.137305231
81	1.136972863
82	1.135688966
83	1.1348166
84	1.133989069
85	1.133247721
86	1.132685619
87	1.131640018
88	1.130858473
89	1.129992493
90	1.128794105
91	1.126608317
92	1.125626478
93	1.124062983
94	1.123382739
95	1.122666333
96	1.121554401
97	1.120395135
98	1.11915243
99	1.118342981
100	1.117658728
101	1.116453747
102	1.114994793
103	1.113760818
104	1.112840739
105	1.112031592
106	1.111112125
107	1.110211901
108	1.109683327
109	1.109110227
110	1.107474563
111	1.106275092
112	1.105443052
113	1.104577405
114	1.103030841
115	1.102117459
116	1.101394643
117	1.099775379
118	1.098789068
119	1.097634456
120	1.096752725
121	1.095712134
122	1.094644379
123	1.094068512
124	1.092636402
125	1.090951347
126	1.090158061
127	1.089279455
128	1.08767244
129	1.08696452
130	1.085549657
131	1.08379154
132	1.083121012
133	1.081883076
134	1.08076022
135	1.079057174
136	1.078126382
137	1.076960995
138	1.075848046
139	1.074666553
140	1.073854701
141	1.0727318
142	1.071819809
143	1.070828182
144	1.06976056
145	1.068999025
146	1.068028841
147	1.066872613
148	1.066267483
149	1.064798995
150	1.063375169
151	1.062754141
152	1.061900785
153	1.060882606
154	1.059787226
155	1.058342206
156	1.057010974
157	1.056163047
158	1.05555198
159	1.054093529
160	1.053260661
161	1.052323065
162	1.051675502
163	1.050755748
164	1.049693384
165	1.04853394
166	1.047597237
167	1.04684137
168	1.045344591
169	1.04436754
170	1.043547129
171	1.042701484
172	1.04141976
173	1.040617009
174	1.039813322
175	1.038895702
176	1.037983508
177	1.037152164
178	1.035491784
179	1.034245533
180	1.03264233
181	1.031645724
182	1.030404976
183	1.029568866
184	1.028726928
185	1.027854583
186	1.026262973
187	1.025487663
188	1.024774782
189	1.024133844
190	1.022846313
191	1.021342553
192	1.02089879
193	1.019883588
194	1.019250811
195	1.018246714
196	1.017607322
197	1.016674053
198	1.015302621
199	1.01417792
200	1.01308344
201	1.012230751
202	1.01087332
203	1.009916323
204	1.009003975
205	1.007922018
206	1.007058198
207	1.006130893
208	1.005470049
209	1.004487467
210	1.003500082
211	1.002765923
212	1.001708393
213	1.000049743
214	0.9985137776
215	0.9973180627
216	0.9962867237
217	0.9953868716
218	0.9941216976
219	0.9936663183
220	0.9924573251
221	0.9915012467
222	0.9909083788
223	0.9901382043
224	0.9892421147
225	0.987626279
226	0.987304757
227	0.9867123729
228	0.9855343663
229	0.9842650013
230	0.9836493769
231	0.9824823283
232	0.9814064488
233	0.9805743316
234	0.9801536391
235	0.9792843459
236	0.9783148345
237	0.9773191779
238	0.9766133967
239	0.9755354906
240	0.9741832448
241	0.9733829807
242	0.9722693914
243	0.971795693
244	0.9709383808
245	0.970054582
246	0.9690140841
247	0.9679843766
248	0.967217576
249	0.9656071144
