iter	Passed	Remaining
0	491	122297
1	1071	132841
2	1544	127143
3	2232	137318
4	2739	134225
5	3246	132020
6	3850	133682
7	4680	141572
8	5342	143056
9	5898	141565
10	6696	145492
11	7283	144465
12	8169	148944
13	8868	149496
14	9526	149242
15	10237	149720
16	10975	150433
17	11605	149578
18	12223	148606
19	12896	148313
20	13766	150120
21	14471	149976
22	15242	150439
23	16020	150859
24	16917	152254
25	17745	152883
26	18497	152775
27	19197	152209
28	20115	153293
29	21063	154462
30	21738	153568
31	22719	154776
32	23535	154760
33	23710	150629
34	24567	150911
35	25277	150257
36	26158	150590
37	26975	150495
38	27928	151098
39	28761	150995
40	29812	151973
41	30758	152329
42	31891	153523
43	32063	150113
44	32940	150060
45	34072	151105
46	34922	150834
47	35820	150743
48	36656	150364
49	37563	150252
50	38525	150323
51	39624	150877
52	40432	150285
53	41235	149667
54	42024	148997
55	42802	148278
56	43687	147925
57	44698	147966
58	45433	147081
59	46205	146316
60	47546	147314
61	48560	147249
62	49531	147023
63	50320	146245
64	51053	145304
65	52164	145429
66	52827	144288
67	53863	144164
68	54911	144044
69	55720	143281
70	56523	142502
71	57380	141857
72	58240	141212
73	59126	140625
74	59904	139776
75	60828	139265
76	61585	138367
77	62550	137932
78	63388	137208
79	64113	136240
80	65009	135637
81	66085	135395
82	66999	134805
83	67982	134346
84	68980	133904
85	70149	133774
86	70992	133009
87	71768	132119
88	72806	131706
89	73804	131208
90	74693	130508
91	75464	129601
92	76130	128520
93	76981	127757
94	77993	127252
95	78949	126648
96	79776	125833
97	80654	125097
98	81542	124372
99	82659	123988
100	83526	123222
101	84552	122683
102	85399	121880
103	86249	121080
104	87249	120487
105	88284	119933
106	89126	119112
107	89952	118270
108	91026	117750
109	92078	117190
110	92913	116350
111	93943	115752
112	94912	115070
113	95996	114522
114	96852	113696
115	97837	113019
116	98986	112522
117	99963	111823
118	101091	111285
119	101986	110485
120	103143	109963
121	104051	109168
122	104864	108274
123	105959	107668
124	106677	106677
125	107505	105799
126	108541	105122
127	109615	104477
128	110464	103613
129	111566	102984
130	112289	102003
131	113194	101188
132	114196	100458
133	115145	99678
134	116238	99017
135	117060	98124
136	117923	97265
137	118566	96227
138	119266	95241
139	119980	94270
140	120674	93287
141	121552	92448
142	122404	91589
143	123263	90735
144	124062	89838
145	124915	88980
146	125999	88285
147	126758	87360
148	127697	86559
149	128506	85671
150	129324	84788
151	130185	83935
152	131233	83200
153	132217	82421
154	133105	81580
155	133782	80612
156	134555	79704
157	135532	78917
158	136581	78169
159	137517	77353
160	138471	76546
161	139317	75678
162	140246	74855
163	141108	73996
164	141940	73120
165	142758	72239
166	143584	71362
167	144627	70592
168	145577	69773
169	146407	68897
170	147416	68104
171	148437	67314
172	149238	66424
173	150013	65523
174	150920	64680
175	151870	63854
176	152769	63006
177	153895	62249
178	154739	61377
179	155505	60474
180	156065	59494
181	156900	58622
182	157781	57767
183	158796	56959
184	159747	56127
185	160556	55245
186	161321	54349
187	162027	53434
188	162818	52549
189	163706	51696
190	164488	50810
191	165197	49903
192	166150	49070
193	166941	48189
194	167806	47330
195	168681	46473
196	169607	45630
197	170453	44765
198	171121	43855
199	171958	42989
200	172784	42121
201	173828	41305
202	175036	40525
203	175886	39660
204	176987	38850
205	177898	37997
206	178716	37124
207	179572	36259
208	180436	35396
209	181823	34633
210	182751	33778
211	183493	32890
212	184301	32014
213	184994	31120
214	185809	30248
215	186666	29382
216	187482	28511
217	188449	27662
218	189172	26777
219	190354	25957
220	191185	25087
221	192059	24223
222	193200	23391
223	194265	22548
224	195306	21700
225	196299	20845
226	197357	19996
227	198426	19146
228	199262	18273
229	200231	17411
230	201107	16541
231	201764	15654
232	202438	14770
233	203303	13901
234	204140	13030
235	204986	12160
236	205676	11281
237	206385	10405
238	207336	9542
239	208271	8677
240	209141	7810
241	209858	6937
242	210640	6067
243	211740	5206
244	212396	4334
245	213127	3465
246	214019	2599
247	214766	1731
248	215853	866
249	216721	0
